Entity,Code,Year,Numeracy (total) (Baten 2015)
Afghanistan,AFG,1900,33.04
Afghanistan,AFG,1910,37.0878
Afghanistan,AFG,1920,53.4885
Afghanistan,AFG,1930,43.728
Afghanistan,AFG,1940,45.2793
Afghanistan,AFG,1950,52.302
Algeria,DZA,1890,78.8748
Algeria,DZA,1900,83.9531
Algeria,DZA,1910,87.6575
Algeria,DZA,1920,89.2918
Algeria,DZA,1930,89.7307
Argentina,ARG,1680,16
Argentina,ARG,1690,22
Argentina,ARG,1700,28
Argentina,ARG,1710,35
Argentina,ARG,1720,41
Argentina,ARG,1730,49
Argentina,ARG,1740,55
Argentina,ARG,1750,60
Argentina,ARG,1760,64
Argentina,ARG,1770,66
Argentina,ARG,1780,67
Argentina,ARG,1790,68
Argentina,ARG,1810,60.9082
Argentina,ARG,1820,66.3767
Argentina,ARG,1830,71.3866
Argentina,ARG,1840,72.9639
Argentina,ARG,1850,80.9343
Argentina,ARG,1860,82.2639
Argentina,ARG,1870,90.6614
Argentina,ARG,1880,93.1146
Argentina,ARG,1900,96.4098
Argentina,ARG,1910,97.448
Argentina,ARG,1920,98.24
Argentina,ARG,1930,97.9092
Argentina,ARG,1940,97.9864
Argentina,ARG,1950,98.4567
Armenia,ARM,1820,24.7724
Armenia,ARM,1830,26.1846
Armenia,ARM,1840,29.839000000000002
Armenia,ARM,1850,37.3165
Armenia,ARM,1860,41.7351
Armenia,ARM,1880,78.2009
Armenia,ARM,1890,87.2048
Armenia,ARM,1900,94.3104
Armenia,ARM,1910,94.2995
Armenia,ARM,1920,96.6246
Armenia,ARM,1930,98.2834
Armenia,ARM,1940,100
Australia,AUS,1860,99.6147
Australia,AUS,1870,99.1189
Australia,AUS,1880,99.8641
Australia,AUS,1890,99.6548
Australia,AUS,1900,99.6496
Australia,AUS,1910,99.0842
Australia,AUS,1920,98.6827
Australia,AUS,1930,99.234
Australia,AUS,1940,100
Australia,AUS,1950,99.4538
Australia,AUS,1960,99.4302
Austria,AUT,1620,84
Austria,AUT,1710,81.7246
Austria,AUT,1720,85.0645
Austria,AUT,1730,85.0355
Austria,AUT,1740,90.3295
Austria,AUT,1750,91.8438
Austria,AUT,1770,86
Austria,AUT,1780,97.6579
Austria,AUT,1790,97.6426
Austria,AUT,1800,96.2233
Austria,AUT,1810,97.5697
Austria,AUT,1820,95.3787
Austria,AUT,1830,95.3057
Austria,AUT,1840,95.6274
Austria,AUT,1850,97.9583
Austria,AUT,1860,98.1537
Austria,AUT,1870,97.8141
Austria,AUT,1880,99.5512
Azerbaijan,AZE,1820,31.1233
Azerbaijan,AZE,1830,31.9435
Azerbaijan,AZE,1840,36.2892
Azerbaijan,AZE,1850,41.9922
Azerbaijan,AZE,1860,38.3567
Azerbaijan,AZE,1880,72.0665
Azerbaijan,AZE,1890,82.9983
Azerbaijan,AZE,1900,89.0332
Azerbaijan,AZE,1910,91.3299
Azerbaijan,AZE,1920,93.9327
Azerbaijan,AZE,1930,95.4384
Azerbaijan,AZE,1940,99.5512
Bahamas,BHS,1910,98.32700000000001
Bahamas,BHS,1920,99.6307
Bahamas,BHS,1930,97.6242
Bahamas,BHS,1940,98.8801
Bahamas,BHS,1950,99.1321
Bahamas,BHS,1960,99.5827
Bahrain,BHR,1890,18.3344
Bahrain,BHR,1900,21.7817
Bahrain,BHR,1910,32.8457
Bahrain,BHR,1920,36.3986
Bahrain,BHR,1930,48.5763
Bahrain,BHR,1940,58.7925
Bahrain,BHR,1950,91.9477
